REF,LINE,DATE,DOCDAT,ACCT,USER,DESC,DOCREF,AMOUNT,CUR,TYPE
B0000014,1,2024-07-14,2024-07-14,450000,S.ELFASI,service fee,B0000014D,-12514.41,USD,manual
B0000014,2,2024-07-14,2024-07-14,51410000,S.ELFASI,service fee,B0000014D,12514.41,USD,manual
B0000015,1,2024-11-14,2024-11-14,400000,M.BENNANI,supplier invoice,B0000015D,-68566.26,USD,manual
B0000015,2,2024-11-14,2024-11-14,51410000,M.BENNANI,supplier invoice,B0000015D,68566.26,USD,manual
B0000016,1,2024-08-01,2024-08-01,620000,S.ELFASI,office supplies,B0000016D,-12151.39,USD,manual
B0000016,2,2024-08-01,2024-08-01,51410000,S.ELFASI,office supplies,B0000016D,12151.39,USD,manual
B0000017,1,2024-04-22,2024-04-22,620000,SAP_JOB,supplier invoice,B0000017D,-2854.31,USD,system
B0000017,2,2024-04-22,2024-04-22,51410000,SAP_JOB,supplier invoice,B0000017D,2854.31,USD,system
B0000018,1,2024-11-03,2024-11-03,450000,K.MANSOURI,office supplies,B0000018D,-38207.22,USD,manual
B0000018,2,2024-11-03,2024-11-03,51410000,K.MANSOURI,office supplies,B0000018D,38207.22,USD,manual
B0000019,1,2024-10-09,2024-10-09,400000,H.AITLA,rent charge,B0000019D,-21490.67,USD,manual
B0000019,2,2024-10-09,2024-10-09,51410000,H.AITLA,rent charge,B0000019D,21490.67,USD,manual
B0000020,1,2024-08-06,2024-08-06,610000,WF-BATCH,rent charge,B0000020D,-1575.72,USD,system
B0000020,2,2024-08-06,2024-08-06,51410000,WF-BATCH,rent charge,B0000020D,1575.72,USD,system
B0000021,1,2024-11-15,2024-11-15,450000,S.ELFASI,rent charge,B0000021D,-21160.75,USD,manual
B0000021,2,2024-11-15,2024-11-15,51410000,S.ELFASI,rent charge,B0000021D,21160.75,USD,manual
B0000022,1,2024-05-05,2024-05-05,450000,K.MANSOURI,service fee,B0000022D,-8586.87,USD,manual
B0000022,2,2024-05-05,2024-05-05,51410000,K.MANSOURI,service fee,B0000022D,8586.87,USD,manual
B0000023,1,2024-09-13,2024-09-13,620000,S.ELFASI,supplier invoice,B0000023D,-33878.43,USD,manual
B0000023,2,2024-09-13,2024-09-13,51410000,S.ELFASI,supplier invoice,B0000023D,33878.43,USD,manual
B0000024,1,2024-08-25,2024-08-25,400000,Z.BERRADA,rent charge,B0000024D,-8954.20,USD,manual
B0000024,2,2024-08-25,2024-08-25,51410000,Z.BERRADA,rent charge,B0000024D,8954.20,USD,manual
B0000025,1,2024-09-01,2024-09-01,620000,Z.BERRADA,rent charge,B0000025D,-7782.42,USD,manual
B0000025,2,2024-09-01,2024-09-01,51410000,Z.BERRADA,rent charge,B0000025D,7782.42,USD,manual
B0000026,1,2024-02-10,2024-02-10,610000,S.ELFASI,rent charge,B0000026D,-29555.40,USD,manual
B0000026,2,2024-02-10,2024-02-10,51410000,S.ELFASI,rent charge,B0000026D,29555.40,USD,manual
B0000027,1,2024-05-22,2024-05-22,450000,M.BENNANI,supplier invoice,B0000027D,-6701.05,USD,manual
B0000027,2,2024-05-22,2024-05-22,51410000,M.BENNANI,supplier invoice,B0000027D,6701.05,USD,manual
B0000028,1,2024-09-12,2024-09-12,400000,Z.BERRADA,office supplies,B0000028D,-21134.91,USD,manual
B0000028,2,2024-09-12,2024-09-12,51410000,Z.BERRADA,office supplies,B0000028D,21134.91,USD,manual
B0000029,1,2024-03-11,2024-03-11,610000,H.AITLA,rent charge,B0000029D,-390102.76,USD,manual
B0000029,2,2024-03-11,2024-03-11,51410000,H.AITLA,rent charge,B0000029D,390102.76,USD,manual
B0000030,1,2024-10-17,2024-10-17,620000,S.ELFASI,supplier invoice,B0000030D,-6878.88,USD,manual
B0000030,2,2024-10-17,2024-10-17,51410000,S.ELFASI,supplier invoice,B0000030D,6878.88,USD,manual
B0000031,1,2024-12-02,2024-12-02,420000,K.MANSOURI,office supplies,B0000031D,-10375.11,USD,manual
B0000031,2,2024-12-02,2024-12-02,51410000,K.MANSOURI,office supplies,B0000031D,10375.11,USD,manual
B0000032,1,2024-08-21,2024-08-21,400000,H.AITLA,rent charge,B0000032D,-25507.60,USD,manual
B0000032,2,2024-08-21,2024-08-21,51410000,H.AITLA,rent charge,B0000032D,25507.60,USD,manual
B0000033,1,2024-04-01,2024-04-01,450000,WF-BATCH,service fee,B0000033D,-28777.83,USD,system
B0000033,2,2024-04-01,2024-04-01,51410000,WF-BATCH,service fee,B0000033D,28777.83,USD,system
B0000034,1,2024-04-15,2024-04-15,450000,K.MANSOURI,supplier invoice,B0000034D,-41901.63,USD,manual
B0000034,2,2024-04-15,2024-04-15,51410000,K.MANSOURI,supplier invoice,B0000034D,41901.63,USD,manual
B0000035,1,2024-12-19,2024-12-19,610000,H.AITLA,utility fee,B0000035D,-33288.00,USD,manual
B0000035,2,2024-12-19,2024-12-19,51410000,H.AITLA,utility fee,B0000035D,33288.00,USD,manual
B0000036,1,2024-09-11,2024-09-11,620000,M.BENNANI,office supplies,B0000036D,-34022.36,USD,manual
B0000036,2,2024-09-11,2024-09-11,51410000,M.BENNANI,office supplies,B0000036D,34022.36,USD,manual
B0000037,1,2024-08-16,2024-08-16,420000,WF-BATCH,supplier invoice,B0000037D,-18715.40,USD,system
B0000037,2,2024-08-16,2024-08-16,51410000,WF-BATCH,supplier invoice,B0000037D,18715.40,USD,system
B0000038,1,2024-07-01,2024-07-01,400000,S.ELFASI,rent charge,B0000038D,-12915.11,USD,manual
B0000038,2,2024-07-01,2024-07-01,51410000,S.ELFASI,rent charge,B0000038D,12915.11,USD,manual
B0000039,1,2024-01-20,2024-01-20,620000,K.MANSOURI,service fee,B0000039D,-20251.53,USD,manual
B0000039,2,2024-01-20,2024-01-20,51410000,K.MANSOURI,service fee,B0000039D,20251.53,USD,manual
B0000040,1,2024-06-11,2024-06-11,450000,H.AITLA,utility fee,B0000040D,-31600.18,USD,manual
B0000040,2,2024-06-11,2024-06-11,51410000,H.AITLA,utility fee,B0000040D,31600.18,USD,manual
B0000041,1,2024-10-02,2024-10-02,450000,Z.BERRADA,utility fee,B0000041D,-21946.59,USD,manual
B0000041,2,2024-10-02,2024-10-02,51410000,Z.BERRADA,utility fee,B0000041D,21946.59,USD,manual
B0000042,1,2024-06-04,2024-06-04,420000,H.AITLA,rent charge,B0000042D,-1624.30,USD,manual
B0000042,2,2024-06-04,2024-06-04,51410000,H.AITLA,rent charge,B0000042D,1624.30,USD,manual
B0000043,1,2024-02-07,2024-02-07,420000,Z.BERRADA,service fee,B0000043D,-1343.50,USD,manual
B0000043,2,2024-02-07,2024-02-07,51410000,Z.BERRADA,service fee,B0000043D,1343.50,USD,manual
B0000044,1,2024-08-25,2024-08-25,610000,S.ELFASI,service fee,B0000044D,-16680.31,USD,manual
B0000044,2,2024-08-25,2024-08-25,51410000,S.ELFASI,service fee,B0000044D,16680.31,USD,manual
B0000045,1,2024-09-12,2024-09-12,610000,S.ELFASI,office supplies,B0000045D,-27229.14,USD,manual
B0000045,2,2024-09-12,2024-09-12,51410000,S.ELFASI,office supplies,B0000045D,27229.14,USD,manual
B0000046,1,2024-04-09,2024-04-09,400000,M.BENNANI,supplier invoice,B0000046D,-58395.38,USD,manual
B0000046,2,2024-04-09,2024-04-09,51410000,M.BENNANI,supplier invoice,B0000046D,58395.38,USD,manual
B0000047,1,2024-01-19,2024-01-19,420000,SAP_JOB,rent charge,B0000047D,-13721.05,USD,system
B0000047,2,2024-01-19,2024-01-19,51410000,SAP_JOB,rent charge,B0000047D,13721.05,USD,system
B0000048,1,2024-10-22,2024-10-22,420000,R.GHALI,service fee,B0000048D,-71165.81,USD,manual
B0000048,2,2024-10-22,2024-10-22,51410000,R.GHALI,service fee,B0000048D,71165.81,USD,manual
B0000049,1,2024-10-26,2024-10-26,400000,S.ELFASI,service fee,B0000049D,-113783.86,USD,manual
B0000049,2,2024-10-26,2024-10-26,51410000,S.ELFASI,service fee,B0000049D,113783.86,USD,manual
B0000050,1,2024-11-07,2024-11-07,450000,H.AITLA,supplier invoice,B0000050D,-30043.20,USD,manual
B0000050,2,2024-11-07,2024-11-07,51410000,H.AITLA,supplier invoice,B0000050D,30043.20,USD,manual
B0000051,1,2024-09-07,2024-09-07,610000,S.ELFASI,supplier invoice,B0000051D,-115839.33,USD,manual
B0000051,2,2024-09-07,2024-09-07,51410000,S.ELFASI,supplier invoice,B0000051D,115839.33,USD,manual
B0000052,1,2024-08-24,2024-08-24,420000,Z.BERRADA,utility fee,B0000052D,-90884.78,USD,manual
B0000052,2,2024-08-24,2024-08-24,51410000,Z.BERRADA,utility fee,B0000052D,90884.78,USD,manual
B0000053,1,2024-06-19,2024-06-19,420000,H.AITLA,utility fee,B0000053D,-39590.04,USD,manual
B0000053,2,2024-06-19,2024-06-19,51410000,H.AITLA,utility fee,B0000053D,39590.04,USD,manual
B0000054,1,2024-09-22,2024-09-22,400000,S.ELFASI,rent charge,B0000054D,-9796.74,USD,manual
B0000054,2,2024-09-22,2024-09-22,51410000,S.ELFASI,rent charge,B0000054D,9796.74,USD,manual
B0000055,1,2024-04-24,2024-04-24,620000,K.MANSOURI,office supplies,B0000055D,-40317.63,USD,manual
B0000055,2,2024-04-24,2024-04-24,51410000,K.MANSOURI,office supplies,B0000055D,40317.63,USD,manual
B0000056,1,2024-04-22,2024-04-22,400000,M.BENNANI,supplier invoice,B0000056D,-192282.11,USD,manual
B0000056,2,2024-04-22,2024-04-22,51410000,M.BENNANI,supplier invoice,B0000056D,192282.11,USD,manual
B0000057,1,2024-07-07,2024-07-07,620000,S.ELFASI,utility fee,B0000057D,-10421.36,USD,manual
B0000057,2,2024-07-07,2024-07-07,51410000,S.ELFASI,utility fee,B0000057D,10421.36,USD,manual
B0000058,1,2024-07-13,2024-07-13,450000,K.MANSOURI,utility fee,B0000058D,-13638.21,USD,manual
B0000058,2,2024-07-13,2024-07-13,51410000,K.MANSOURI,utility fee,B0000058D,13638.21,USD,manual
B0000059,1,2024-02-07,2024-02-07,620000,M.BENNANI,service fee,B0000059D,-23180.28,USD,manual
B0000059,2,2024-02-07,2024-02-07,51410000,M.BENNANI,service fee,B0000059D,23180.28,USD,manual
B0000060,1,2024-09-23,2024-09-23,610000,K.MANSOURI,supplier invoice,B0000060D,-26797.15,USD,manual
B0000060,2,2024-09-23,2024-09-23,51410000,K.MANSOURI,supplier invoice,B0000060D,26797.15,USD,manual
B0000061,1,2024-08-02,2024-08-02,420000,S.ELFASI,utility fee,B0000061D,-40600.82,USD,manual
B0000061,2,2024-08-02,2024-08-02,51410000,S.ELFASI,utility fee,B0000061D,40600.82,USD,manual
B0000062,1,2024-06-04,2024-06-04,450000,S.ELFASI,utility fee,B0000062D,-28017.82,USD,manual
B0000062,2,2024-06-04,2024-06-04,51410000,S.ELFASI,utility fee,B0000062D,28017.82,USD,manual
B0000063,1,2024-08-10,2024-08-10,400000,K.MANSOURI,rent charge,B0000063D,-19186.58,USD,manual
B0000063,2,2024-08-10,2024-08-10,51410000,K.MANSOURI,rent charge,B0000063D,19186.58,USD,manual
B0000064,1,2024-08-10,2024-08-10,450000,H.AITLA,utility fee,B0000064D,-22002.25,USD,manual
B0000064,2,2024-08-10,2024-08-10,51410000,H.AITLA,utility fee,B0000064D,22002.25,USD,manual
B0000065,1,2024-08-09,2024-08-09,450000,H.AITLA,office supplies,B0000065D,-28419.76,USD,manual
B0000065,2,2024-08-09,2024-08-09,51410000,H.AITLA,office supplies,B0000065D,28419.76,USD,manual
B0000066,1,2024-07-13,2024-07-13,420000,S.ELFASI,utility fee,B0000066D,-104466.90,USD,manual
B0000066,2,2024-07-13,2024-07-13,51410000,S.ELFASI,utility fee,B0000066D,104466.90,USD,manual
B0000067,1,2024-10-01,2024-10-01,400000,S.ELFASI,supplier invoice,B0000067D,-13457.87,USD,manual
B0000067,2,2024-10-01,2024-10-01,51410000,S.ELFASI,supplier invoice,B0000067D,13457.87,USD,manual
B0000068,1,2024-01-19,2024-01-19,400000,K.MANSOURI,office supplies,B0000068D,-34744.19,USD,manual
B0000068,2,2024-01-19,2024-01-19,51410000,K.MANSOURI,office supplies,B0000068D,34744.19,USD,manual
B0000069,1,2024-12-01,2024-12-01,620000,Z.BERRADA,supplier invoice,B0000069D,-33186.10,USD,manual
B0000069,2,2024-12-01,2024-12-01,51410000,Z.BERRADA,supplier invoice,B0000069D,33186.10,USD,manual
B0000070,1,2024-08-11,2024-08-11,610000,S.ELFASI,rent charge,B0000070D,-33260.35,USD,manual
B0000070,2,2024-08-11,2024-08-11,51410000,S.ELFASI,rent charge,B0000070D,33260.35,USD,manual
B0000071,1,2024-05-23,2024-05-23,610000,H.AITLA,rent charge,B0000071D,-12441.55,USD,manual
B0000071,2,2024-05-23,2024-05-23,51410000,H.AITLA,rent charge,B0000071D,12441.55,USD,manual
B0000072,1,2024-03-09,2024-03-09,420000,IDOC_AUTO,service fee,B0000072D,-30155.28,USD,system
B0000072,2,2024-03-09,2024-03-09,51410000,IDOC_AUTO,service fee,B0000072D,30155.28,USD,system
B0000073,1,2024-02-10,2024-02-10,610000,M.BENNANI,office supplies,B0000073D,-37537.50,USD,manual
B0000073,2,2024-02-10,2024-02-10,51410000,M.BENNANI,office supplies,B0000073D,37537.50,USD,manual
B0000074,1,2024-05-26,2024-05-26,420000,K.MANSOURI,utility fee,B0000074D,-8875.21,USD,manual
B0000074,2,2024-05-26,2024-05-26,51410000,K.MANSOURI,utility fee,B0000074D,8875.21,USD,manual
B0000075,1,2024-05-06,2024-05-06,450000,K.MANSOURI,service fee,B0000075D,-90170.11,USD,manual
B0000075,2,2024-05-06,2024-05-06,51410000,K.MANSOURI,service fee,B0000075D,90170.11,USD,manual
B0000076,1,2024-11-09,2024-11-09,620000,Z.BERRADA,supplier invoice,B0000076D,-23845.79,USD,manual
B0000076,2,2024-11-09,2024-11-09,51410000,Z.BERRADA,supplier invoice,B0000076D,23845.79,USD,manual
B0000077,1,2024-11-16,2024-11-16,400000,S.ELFASI,utility fee,B0000077D,-15171.02,USD,manual
B0000077,2,2024-11-16,2024-11-16,51410000,S.ELFASI,utility fee,B0000077D,15171.02,USD,manual
B0000078,1,2024-04-14,2024-04-14,450000,Z.BERRADA,supplier invoice,B0000078D,-30330.84,USD,manual
B0000078,2,2024-04-14,2024-04-14,51410000,Z.BERRADA,supplier invoice,B0000078D,30330.84,USD,manual
B0000079,1,2024-05-25,2024-05-25,610000,K.MANSOURI,rent charge,B0000079D,-81292.64,USD,manual
B0000079,2,2024-05-25,2024-05-25,51410000,K.MANSOURI,rent charge,B0000079D,81292.64,USD,manual
B0000080,1,2024-02-24,2024-02-24,400000,S.ELFASI,service fee,B0000080D,-22301.65,USD,manual
B0000080,2,2024-02-24,2024-02-24,51410000,S.ELFASI,service fee,B0000080D,22301.65,USD,manual
B0000081,1,2024-04-25,2024-04-25,450000,H.AITLA,supplier invoice,B0000081D,-1405.76,USD,manual
B0000081,2,2024-04-25,2024-04-25,51410000,H.AITLA,supplier invoice,B0000081D,1405.76,USD,manual
B0000082,1,2024-04-09,2024-04-09,610000,M.BENNANI,service fee,B0000082D,-34515.51,USD,manual
B0000082,2,2024-04-09,2024-04-09,51410000,M.BENNANI,service fee,B0000082D,34515.51,USD,manual
B0000083,1,2024-03-22,2024-03-22,400000,H.AITLA,office supplies,B0000083D,-19786.88,USD,manual
B0000083,2,2024-03-22,2024-03-22,51410000,H.AITLA,office supplies,B0000083D,19786.88,USD,manual
B0000084,1,2024-11-12,2024-11-12,420000,K.MANSOURI,supplier invoice,B0000084D,-25812.65,USD,manual
B0000084,2,2024-11-12,2024-11-12,51410000,K.MANSOURI,supplier invoice,B0000084D,25812.65,USD,manual
B0000085,1,2024-04-02,2024-04-02,420000,M.BENNANI,utility fee,B0000085D,-11072.81,USD,manual
B0000085,2,2024-04-02,2024-04-02,51410000,M.BENNANI,utility fee,B0000085D,11072.81,USD,manual
B0000086,1,2024-01-18,2024-01-18,620000,H.AITLA,supplier invoice,B0000086D,-363281.72,USD,manual
B0000086,2,2024-01-18,2024-01-18,51410000,H.AITLA,supplier invoice,B0000086D,363281.72,USD,manual
B0000087,1,2024-08-03,2024-08-03,420000,K.MANSOURI,utility fee,B0000087D,-28231.72,USD,manual
B0000087,2,2024-08-03,2024-08-03,51410000,K.MANSOURI,utility fee,B0000087D,28231.72,USD,manual
B0000088,1,2024-03-06,2024-03-06,450000,S.ELFASI,supplier invoice,B0000088D,-15403.50,USD,manual
B0000088,2,2024-03-06,2024-03-06,51410000,S.ELFASI,supplier invoice,B0000088D,15403.50,USD,manual
B0000089,1,2024-11-21,2024-11-21,610000,IDOC_AUTO,rent charge,B0000089D,-31860.14,USD,system
B0000089,2,2024-11-21,2024-11-21,51410000,IDOC_AUTO,rent charge,B0000089D,31860.14,USD,system
B0000090,1,2024-08-21,2024-08-21,450000,Z.BERRADA,supplier invoice,B0000090D,-2603.03,USD,manual
B0000090,2,2024-08-21,2024-08-21,51410000,Z.BERRADA,supplier invoice,B0000090D,2603.03,USD,manual
B0000091,1,2024-03-23,2024-03-23,620000,S.ELFASI,rent charge,B0000091D,-14233.90,USD,manual
B0000091,2,2024-03-23,2024-03-23,51410000,S.ELFASI,rent charge,B0000091D,14233.90,USD,manual
B0000092,1,2024-11-15,2024-11-15,610000,H.AITLA,office supplies,B0000092D,-14413.90,USD,manual
B0000092,2,2024-11-15,2024-11-15,51410000,H.AITLA,office supplies,B0000092D,14413.90,USD,manual
B0000093,1,2024-09-16,2024-09-16,400000,H.AITLA,office supplies,B0000093D,-22165.90,USD,manual
B0000093,2,2024-09-16,2024-09-16,51410000,H.AITLA,office supplies,B0000093D,22165.90,USD,manual
B0000094,1,2024-08-08,2024-08-08,620000,K.MANSOURI,rent charge,B0000094D,-21544.19,USD,manual
B0000094,2,2024-08-08,2024-08-08,51410000,K.MANSOURI,rent charge,B0000094D,21544.19,USD,manual
B0000095,1,2024-04-22,2024-04-22,620000,K.MANSOURI,utility fee,B0000095D,-11077.92,USD,manual
B0000095,2,2024-04-22,2024-04-22,51410000,K.MANSOURI,utility fee,B0000095D,11077.92,USD,manual
B0000096,1,2024-03-14,2024-03-14,420000,M.BENNANI,utility fee,B0000096D,-5815.54,USD,manual
B0000096,2,2024-03-14,2024-03-14,51410000,M.BENNANI,utility fee,B0000096D,5815.54,USD,manual
B0000097,1,2024-07-02,2024-07-02,620000,K.MANSOURI,service fee,B0000097D,-28809.82,USD,manual
B0000097,2,2024-07-02,2024-07-02,51410000,K.MANSOURI,service fee,B0000097D,28809.82,USD,manual
B0000098,1,2024-04-05,2024-04-05,400000,S.ELFASI,utility fee,B0000098D,-341581.56,USD,manual
B0000098,2,2024-04-05,2024-04-05,51410000,S.ELFASI,utility fee,B0000098D,341581.56,USD,manual
B0000099,1,2024-06-11,2024-06-11,450000,Z.BERRADA,service fee,B0000099D,-23936.95,USD,manual
B0000099,2,2024-06-11,2024-06-11,51410000,Z.BERRADA,service fee,B0000099D,23936.95,USD,manual
B0000100,1,2024-09-23,2024-09-23,450000,R.GHALI,rent charge,B0000100D,-46070.87,USD,manual
B0000100,2,2024-09-23,2024-09-23,51410000,R.GHALI,rent charge,B0000100D,46070.87,USD,manual
B0000101,1,2024-07-06,2024-07-06,420000,S.ELFASI,utility fee,B0000101D,-27791.67,USD,manual
B0000101,2,2024-07-06,2024-07-06,51410000,S.ELFASI,utility fee,B0000101D,27791.67,USD,manual
B0000102,1,2024-03-01,2024-03-01,400000,M.BENNANI,service fee,B0000102D,-2313.24,USD,manual
B0000102,2,2024-03-01,2024-03-01,51410000,M.BENNANI,service fee,B0000102D,2313.24,USD,manual
B0000103,1,2024-10-02,2024-10-02,620000,H.AITLA,rent charge,B0000103D,-22922.42,USD,manual
B0000103,2,2024-10-02,2024-10-02,51410000,H.AITLA,rent charge,B0000103D,22922.42,USD,manual
B0000104,1,2024-11-16,2024-11-16,620000,K.MANSOURI,service fee,B0000104D,-31077.85,USD,manual
B0000104,2,2024-11-16,2024-11-16,51410000,K.MANSOURI,service fee,B0000104D,31077.85,USD,manual
B0000105,1,2024-03-03,2024-03-03,620000,H.AITLA,rent charge,B0000105D,-96908.56,USD,manual
B0000105,2,2024-03-03,2024-03-03,51410000,H.AITLA,rent charge,B0000105D,96908.56,USD,manual
B0000106,1,2024-10-24,2024-10-24,400000,Z.BERRADA,supplier invoice,B0000106D,-25602.15,USD,manual
B0000106,2,2024-10-24,2024-10-24,51410000,Z.BERRADA,supplier invoice,B0000106D,25602.15,USD,manual
B0000107,1,2024-10-18,2024-10-18,610000,Z.BERRADA,service fee,B0000107D,-38796.38,USD,manual
B0000107,2,2024-10-18,2024-10-18,51410000,Z.BERRADA,service fee,B0000107D,38796.38,USD,manual
B0000108,1,2024-08-01,2024-08-01,450000,S.ELFASI,rent charge,B0000108D,-38972.35,USD,manual
B0000108,2,2024-08-01,2024-08-01,51410000,S.ELFASI,rent charge,B0000108D,38972.35,USD,manual
B0000109,1,2024-08-03,2024-08-03,620000,S.ELFASI,rent charge,B0000109D,-37952.03,USD,manual
B0000109,2,2024-08-03,2024-08-03,51410000,S.ELFASI,rent charge,B0000109D,37952.03,USD,manual
B0000110,1,2024-11-12,2024-11-12,420000,H.AITLA,rent charge,B0000110D,-56135.17,USD,manual
B0000110,2,2024-11-12,2024-11-12,51410000,H.AITLA,rent charge,B0000110D,56135.17,USD,manual
B0000111,1,2024-02-11,2024-02-11,450000,S.ELFASI,utility fee,B0000111D,-13401.78,USD,manual
B0000111,2,2024-02-11,2024-02-11,51410000,S.ELFASI,utility fee,B0000111D,13401.78,USD,manual
B0000112,1,2024-09-25,2024-09-25,450000,S.ELFASI,supplier invoice,B0000112D,-2597.00,USD,manual
B0000112,2,2024-09-25,2024-09-25,51410000,S.ELFASI,supplier invoice,B0000112D,2597.00,USD,manual
B0000113,1,2024-03-01,2024-03-01,610000,M.BENNANI,service fee,B0000113D,-3444.36,USD,manual
B0000113,2,2024-03-01,2024-03-01,51410000,M.BENNANI,service fee,B0000113D,3444.36,USD,manual
B0000114,1,2024-01-20,2024-01-20,400000,S.ELFASI,rent charge,B0000114D,-10161.02,USD,manual
B0000114,2,2024-01-20,2024-01-20,51410000,S.ELFASI,rent charge,B0000114D,10161.02,USD,manual
B0000115,1,2024-06-02,2024-06-02,400000,K.MANSOURI,rent charge,B0000115D,-21975.67,USD,manual
B0000115,2,2024-06-02,2024-06-02,51410000,K.MANSOURI,rent charge,B0000115D,21975.67,USD,manual
B0000116,1,2024-08-07,2024-08-07,610000,S.ELFASI,supplier invoice,B0000116D,-24704.50,USD,manual
B0000116,2,2024-08-07,2024-08-07,51410000,S.ELFASI,supplier invoice,B0000116D,24704.50,USD,manual
B0000117,1,2024-01-15,2024-01-15,610000,Z.BERRADA,rent charge,B0000117D,-41770.30,USD,manual
B0000117,2,2024-01-15,2024-01-15,51410000,Z.BERRADA,rent charge,B0000117D,41770.30,USD,manual
B0000118,1,2024-05-01,2024-05-01,610000,H.AITLA,office supplies,B0000118D,-1488.37,USD,manual
B0000118,2,2024-05-01,2024-05-01,51410000,H.AITLA,office supplies,B0000118D,1488.37,USD,manual
B0000119,1,2024-12-19,2024-12-19,450000,M.BENNANI,rent charge,B0000119D,-4741.16,USD,manual
B0000119,2,2024-12-19,2024-12-19,51410000,M.BENNANI,rent charge,B0000119D,4741.16,USD,manual
B0000120,1,2024-05-23,2024-05-23,620000,H.AITLA,office supplies,B0000120D,-28553.29,USD,manual
B0000120,2,2024-05-23,2024-05-23,51410000,H.AITLA,office supplies,B0000120D,28553.29,USD,manual
B0000121,1,2024-07-01,2024-07-01,420000,IDOC_AUTO,service fee,B0000121D,-94366.91,USD,system
B0000121,2,2024-07-01,2024-07-01,51410000,IDOC_AUTO,service fee,B0000121D,94366.91,USD,system
B0000122,1,2024-08-02,2024-08-02,620000,M.BENNANI,rent charge,B0000122D,-19193.59,USD,manual
B0000122,2,2024-08-02,2024-08-02,51410000,M.BENNANI,rent charge,B0000122D,19193.59,USD,manual
B0000123,1,2024-05-07,2024-05-07,620000,S.ELFASI,office supplies,B0000123D,-43872.76,USD,manual
B0000123,2,2024-05-07,2024-05-07,51410000,S.ELFASI,office supplies,B0000123D,43872.76,USD,manual
B0000124,1,2024-07-23,2024-07-23,420000,S.ELFASI,office supplies,B0000124D,-33849.37,USD,manual
B0000124,2,2024-07-23,2024-07-23,51410000,S.ELFASI,office supplies,B0000124D,33849.37,USD,manual
B0000125,1,2024-10-13,2024-10-13,450000,H.AITLA,office supplies,B0000125D,-10345.66,USD,manual
