ENTRY,LINE,POST_DATE,ACCOUNT,USER,DESCR,DOC,AMOUNT,CURRENCY,ENTRY_TYPE
JE000013,1,2026-01-05,1200,SAPUSER,Sales invoice,INV-001873,7232.30,USD,system
JE000013,2,2026-01-05,4000,SAPUSER,Sales invoice,INV-001873,-7232.30,USD,system
JE000014,1,2026-01-05,1200,SAPUSER,Billing document posting,INV-001874,4735.65,USD,system
JE000014,2,2026-01-05,4000,SAPUSER,Billing document posting,INV-001874,-4735.65,USD,system
JE000015,1,2026-01-05,1200,SAPUSER,Billing document posting,INV-001875,7870.54,USD,system
JE000015,2,2026-01-05,4000,SAPUSER,Billing document posting,INV-001875,-7870.54,USD,system
JE000016,1,2026-01-05,1200,SAPUSER,Customer billing,INV-001876,6736.52,USD,system
JE000016,2,2026-01-05,4000,SAPUSER,Customer billing,INV-001876,-6736.52,USD,system
JE000017,1,2026-01-05,1200,SAPUSER,Sales invoice,INV-001877,2667.34,USD,system
JE000017,2,2026-01-05,4000,SAPUSER,Sales invoice,INV-001877,-2667.34,USD,system
JE000018,1,2026-01-05,1200,SAPUSER,Customer billing,INV-001878,7845.62,USD,system
JE000018,2,2026-01-05,4000,SAPUSER,Customer billing,INV-001878,-7845.62,USD,system
JE000019,1,2026-01-05,1200,SAPUSER,Sales invoice,INV-001879,5008.06,USD,system
JE000019,2,2026-01-05,4000,SAPUSER,Sales invoice,INV-001879,-5008.06,USD,system
JE000020,1,2026-01-05,6000,PEREZ_A,Office supplies purchase,EXP-000001,246.62,USD,manual
JE000020,2,2026-01-05,1000,PEREZ_A,Office supplies purchase,EXP-000001,-246.62,USD,manual
JE000021,1,2026-01-05,6000,JDOE,Office supplies purchase,EXP-000002,427.87,USD,manual
JE000021,2,2026-01-05,1000,JDOE,Office supplies purchase,EXP-000002,-427.87,USD,manual
JE000022,1,2026-01-05,7000,MARTIN_B,Travel expense claim,EXP-000003,313.07,USD,manual
JE000022,2,2026-01-05,1000,MARTIN_B,Travel expense claim,EXP-000003,-313.07,USD,manual
JE000023,1,2026-01-05,6000,SMITH_C,Office supplies purchase,EXP-000004,274.20,USD,manual
JE000023,2,2026-01-05,1000,SMITH_C,Office supplies purchase,EXP-000004,-274.20,USD,manual
JE000024,1,2026-01-05,6000,MARTIN_B,Office supplies purchase,EXP-000005,276.55,USD,manual
JE000024,2,2026-01-05,1000,MARTIN_B,Office supplies purchase,EXP-000005,-276.55,USD,manual
JE000025,1,2026-01-05,7000,PEREZ_A,Travel expense claim,EXP-000931,24.07,USD,manual
JE000025,2,2026-01-05,1000,PEREZ_A,Travel expense claim,EXP-000931,-24.07,USD,manual
JE000026,1,2026-01-05,7000,JDOE,Travel expense claim,EXP-000932,420.91,USD,manual
JE000026,2,2026-01-05,1000,JDOE,Travel expense claim,EXP-000932,-420.91,USD,manual
JE000027,1,2026-01-05,6000,PEREZ_A,Office supplies purchase,EXP-000933,330.89,USD,manual
JE000027,2,2026-01-05,1000,PEREZ_A,Office supplies purchase,EXP-000933,-330.89,USD,manual
JE000028,1,2026-01-05,7000,PEREZ_A,Travel expense claim,EXP-001855,74.06,USD,manual
JE000028,2,2026-01-05,1000,PEREZ_A,Travel expense claim,EXP-001855,-74.06,USD,manual
JE000029,1,2026-01-05,6000,MARTIN_B,Office supplies purchase,EXP-001856,178.14,USD,manual
JE000029,2,2026-01-05,1000,MARTIN_B,Office supplies purchase,EXP-001856,-178.14,USD,manual
JE000030,1,2026-01-05,7000,JDOE,Travel expense claim,EXP-001857,266.07,USD,manual
JE000030,2,2026-01-05,1000,JDOE,Travel expense claim,EXP-001857,-266.07,USD,manual
JE000031,1,2026-01-05,6000,JDOE,Office supplies purchase,EXP-001858,214.63,USD,manual
JE000031,2,2026-01-05,1000,JDOE,Office supplies purchase,EXP-001858,-214.63,USD,manual
JE000032,1,2026-01-06,1200,SAPUSER,Customer billing,INV-000010,4574.02,USD,system
JE000032,2,2026-01-06,4000,SAPUSER,Customer billing,INV-000010,-4574.02,USD,system
JE000033,1,2026-01-06,1200,SAPUSER,Sales invoice,INV-000011,4731.40,USD,system
JE000033,2,2026-01-06,4000,SAPUSER,Sales invoice,INV-000011,-4731.40,USD,system
JE000034,1,2026-01-06,1200,SAPUSER,Customer billing,INV-000012,7861.67,USD,system
JE000034,2,2026-01-06,4000,SAPUSER,Customer billing,INV-000012,-7861.67,USD,system
JE000035,1,2026-01-06,1200,SAPUSER,Sales invoice,INV-000013,1861.92,USD,system
JE000035,2,2026-01-06,4000,SAPUSER,Sales invoice,INV-000013,-1861.92,USD,system
JE000036,1,2026-01-06,1200,SAPUSER,Customer billing,INV-000014,2276.07,USD,system
JE000036,2,2026-01-06,4000,SAPUSER,Customer billing,INV-000014,-2276.07,USD,system
JE000037,1,2026-01-06,1200,SAPUSER,Billing document posting,INV-000015,4232.77,USD,system
JE000037,2,2026-01-06,4000,SAPUSER,Billing document posting,INV-000015,-4232.77,USD,system
JE000038,1,2026-01-06,1200,SAPUSER,Sales invoice,INV-001880,8185.54,USD,system
JE000038,2,2026-01-06,4000,SAPUSER,Sales invoice,INV-001880,-8185.54,USD,system
JE000039,1,2026-01-06,1200,SAPUSER,Billing document posting,INV-001881,1951.04,USD,system
JE000039,2,2026-01-06,4000,SAPUSER,Billing document posting,INV-001881,-1951.04,USD,system
JE000040,1,2026-01-06,1200,SAPUSER,Customer billing,INV-001882,1890.74,USD,system
JE000040,2,2026-01-06,4000,SAPUSER,Customer billing,INV-001882,-1890.74,USD,system
JE000041,1,2026-01-06,1200,SAPUSER,Customer billing,INV-001883,8054.32,USD,system
JE000041,2,2026-01-06,4000,SAPUSER,Customer billing,INV-001883,-8054.32,USD,system
JE000042,1,2026-01-06,1200,SAPUSER,Sales invoice,INV-001884,7807.03,USD,system
JE000042,2,2026-01-06,4000,SAPUSER,Sales invoice,INV-001884,-7807.03,USD,system
JE000043,1,2026-01-06,1200,SAPUSER,Customer billing,INV-001885,3853.32,USD,system
JE000043,2,2026-01-06,4000,SAPUSER,Customer billing,INV-001885,-3853.32,USD,system
JE000044,1,2026-01-06,1200,SAPUSER,Billing document posting,INV-001886,7252.53,USD,system
JE000044,2,2026-01-06,4000,SAPUSER,Billing document posting,INV-001886,-7252.53,USD,system
JE000045,1,2026-01-06,1200,SAPUSER,Billing document posting,INV-001887,2304.69,USD,system
JE000045,2,2026-01-06,4000,SAPUSER,Billing document posting,INV-001887,-2304.69,USD,system
JE000046,1,2026-01-06,1200,SAPUSER,Billing document posting,INV-001888,6025.38,USD,system
JE000046,2,2026-01-06,4000,SAPUSER,Billing document posting,INV-001888,-6025.38,USD,system
JE000047,1,2026-01-06,1200,SAPUSER,Sales invoice,INV-001889,3478.19,USD,system
JE000047,2,2026-01-06,4000,SAPUSER,Sales invoice,INV-001889,-3478.19,USD,system
JE000048,1,2026-01-06,1200,SAPUSER,Billing document posting,INV-001890,2024.01,USD,system
JE000048,2,2026-01-06,4000,SAPUSER,Billing document posting,INV-001890,-2024.01,USD,system
JE000049,1,2026-01-06,1200,SAPUSER,Sales invoice,INV-001891,1392.76,USD,system
JE000049,2,2026-01-06,4000,SAPUSER,Sales invoice,INV-001891,-1392.76,USD,system
JE000050,1,2026-01-06,1200,SAPUSER,Customer billing,INV-001892,2548.40,USD,system
JE000050,2,2026-01-06,4000,SAPUSER,Customer billing,INV-001892,-2548.40,USD,system
JE000051,1,2026-01-06,6000,JONES_M,Office supplies purchase,EXP-000006,232.86,USD,manual
JE000051,2,2026-01-06,1000,JONES_M,Office supplies purchase,EXP-000006,-232.86,USD,manual
JE000052,1,2026-01-06,7000,MARTIN_B,Travel expense claim,EXP-000007,318.28,USD,manual
JE000052,2,2026-01-06,1000,MARTIN_B,Travel expense claim,EXP-000007,-318.28,USD,manual
JE000053,1,2026-01-06,7000,PEREZ_A,Travel expense claim,EXP-000008,196.68,USD,manual
JE000053,2,2026-01-06,1000,PEREZ_A,Travel expense claim,EXP-000008,-196.68,USD,manual
JE000054,1,2026-01-06,6000,JDOE,Office supplies purchase,EXP-000009,140.70,USD,manual
JE000054,2,2026-01-06,1000,JDOE,Office supplies purchase,EXP-000009,-140.70,USD,manual
JE000055,1,2026-01-06,6000,SMITH_C,Office supplies purchase,EXP-000010,218.79,USD,manual
JE000055,2,2026-01-06,1000,SMITH_C,Office supplies purchase,EXP-000010,-218.79,USD,manual
JE000056,1,2026-01-06,7000,SMITH_C,Travel expense claim,EXP-000934,334.71,USD,manual
JE000056,2,2026-01-06,1000,SMITH_C,Travel expense claim,EXP-000934,-334.71,USD,manual
JE000057,1,2026-01-06,6000,JDOE,Office supplies purchase,EXP-000935,63.87,USD,manual
JE000057,2,2026-01-06,1000,JDOE,Office supplies purchase,EXP-000935,-63.87,USD,manual
JE000058,1,2026-01-06,6000,JDOE,Office supplies purchase,EXP-000936,233.39,USD,manual
JE000058,2,2026-01-06,1000,JDOE,Office supplies purchase,EXP-000936,-233.39,USD,manual
JE000059,1,2026-01-06,7000,SMITH_C,Travel expense claim,EXP-000937,274.71,USD,manual
JE000059,2,2026-01-06,1000,SMITH_C,Travel expense claim,EXP-000937,-274.71,USD,manual
JE000060,1,2026-01-06,6000,PEREZ_A,Office supplies purchase,EXP-000938,24.86,USD,manual
JE000060,2,2026-01-06,1000,PEREZ_A,Office supplies purchase,EXP-000938,-24.86,USD,manual
JE000061,1,2026-01-06,7000,SMITH_C,Travel expense claim,EXP-000939,49.55,USD,manual
JE000061,2,2026-01-06,1000,SMITH_C,Travel expense claim,EXP-000939,-49.55,USD,manual
JE000062,1,2026-01-06,7000,JONES_M,Travel expense claim,EXP-001859,388.03,USD,manual
JE000062,2,2026-01-06,1000,JONES_M,Travel expense claim,EXP-001859,-388.03,USD,manual
JE000063,1,2026-01-06,6000,PEREZ_A,Office supplies purchase,EXP-001860,217.26,USD,manual
JE000063,2,2026-01-06,1000,PEREZ_A,Office supplies purchase,EXP-001860,-217.26,USD,manual
JE000064,1,2026-01-06,6000,PEREZ_A,Office supplies purchase,EXP-001861,166.73,USD,manual
JE000064,2,2026-01-06,1000,PEREZ_A,Office supplies purchase,EXP-001861,-166.73,USD,manual
JE000065,1,2026-01-06,6000,JDOE,Office supplies purchase,EXP-001862,450.46,USD,manual
JE000065,2,2026-01-06,1000,JDOE,Office supplies purchase,EXP-001862,-450.46,USD,manual
JE000066,1,2026-01-06,7000,PEREZ_A,Travel expense claim,EXP-001863,60.28,USD,manual
JE000066,2,2026-01-06,1000,PEREZ_A,Travel expense claim,EXP-001863,-60.28,USD,manual
JE000067,1,2026-01-06,7000,SMITH_C,Travel expense claim,EXP-001864,449.08,USD,manual
JE000067,2,2026-01-06,1000,SMITH_C,Travel expense claim,EXP-001864,-449.08,USD,manual
JE000068,1,2026-01-06,7000,JDOE,Travel expense claim,EXP-001865,273.10,USD,manual
JE000068,2,2026-01-06,1000,JDOE,Travel expense claim,EXP-001865,-273.10,USD,manual
JE000069,1,2026-01-06,6000,PEREZ_A,Office supplies purchase,EXP-001866,122.32,USD,manual
JE000069,2,2026-01-06,1000,PEREZ_A,Office supplies purchase,EXP-001866,-122.32,USD,manual
JE000070,1,2026-01-06,6000,MARTIN_B,Office supplies purchase,EXP-001867,460.97,USD,manual
JE000070,2,2026-01-06,1000,MARTIN_B,Office supplies purchase,EXP-001867,-460.97,USD,manual
JE000071,1,2026-01-07,1200,SAPUSER,Sales invoice,INV-000016,933.49,USD,system
JE000071,2,2026-01-07,4000,SAPUSER,Sales invoice,INV-000016,-933.49,USD,system
JE000072,1,2026-01-07,1200,SAPUSER,Customer billing,INV-000017,8075.20,USD,system
JE000072,2,2026-01-07,4000,SAPUSER,Customer billing,INV-000017,-8075.20,USD,system
JE000073,1,2026-01-07,1200,SAPUSER,Customer billing,INV-000018,6088.10,USD,system
JE000073,2,2026-01-07,4000,SAPUSER,Customer billing,INV-000018,-6088.10,USD,system
JE000074,1,2026-01-07,1200,SAPUSER,Customer billing,INV-000019,4236.98,USD,system
JE000074,2,2026-01-07,4000,SAPUSER,Customer billing,INV-000019,-4236.98,USD,system
JE000075,1,2026-01-07,1200,SAPUSER,Billing document posting,INV-000020,2559.24,USD,system
JE000075,2,2026-01-07,4000,SAPUSER,Billing document posting,INV-000020,-2559.24,USD,system
JE000076,1,2026-01-07,1200,SAPUSER,Sales invoice,INV-000021,1846.81,USD,system
JE000076,2,2026-01-07,4000,SAPUSER,Sales invoice,INV-000021,-1846.81,USD,system
JE000077,1,2026-01-07,1200,SAPUSER,Sales invoice,INV-000022,3844.38,USD,system
JE000077,2,2026-01-07,4000,SAPUSER,Sales invoice,INV-000022,-3844.38,USD,system
JE000078,1,2026-01-07,1200,SAPUSER,Billing document posting,INV-000023,6125.14,USD,system
JE000078,2,2026-01-07,4000,SAPUSER,Billing document posting,INV-000023,-6125.14,USD,system
JE000079,1,2026-01-07,1200,SAPUSER,Billing document posting,INV-000024,914.55,USD,system
JE000079,2,2026-01-07,4000,SAPUSER,Billing document posting,INV-000024,-914.55,USD,system
JE000080,1,2026-01-07,1200,SAPUSER,Billing document posting,INV-001893,2829.67,USD,system
JE000080,2,2026-01-07,4000,SAPUSER,Billing document posting,INV-001893,-2829.67,USD,system
JE000081,1,2026-01-07,1200,SAPUSER,Billing document posting,INV-001894,3821.61,USD,system
JE000081,2,2026-01-07,4000,SAPUSER,Billing document posting,INV-001894,-3821.61,USD,system
JE000082,1,2026-01-07,1200,SAPUSER,Customer billing,INV-001895,1286.23,USD,system
JE000082,2,2026-01-07,4000,SAPUSER,Customer billing,INV-001895,-1286.23,USD,system
JE000083,1,2026-01-07,1200,SAPUSER,Billing document posting,INV-001896,2252.34,USD,system
JE000083,2,2026-01-07,4000,SAPUSER,Billing document posting,INV-001896,-2252.34,USD,system
JE000084,1,2026-01-07,1200,SAPUSER,Sales invoice,INV-001897,4665.13,USD,system
JE000084,2,2026-01-07,4000,SAPUSER,Sales invoice,INV-001897,-4665.13,USD,system
JE000085,1,2026-01-07,1200,SAPUSER,Sales invoice,INV-001898,1109.73,USD,system
JE000085,2,2026-01-07,4000,SAPUSER,Sales invoice,INV-001898,-1109.73,USD,system
JE000086,1,2026-01-07,1200,SAPUSER,Billing document posting,INV-001899,5945.29,USD,system
JE000086,2,2026-01-07,4000,SAPUSER,Billing document posting,INV-001899,-5945.29,USD,system
JE000087,1,2026-01-07,1200,SAPUSER,Customer billing,INV-001900,2740.31,USD,system
JE000087,2,2026-01-07,4000,SAPUSER,Customer billing,INV-001900,-2740.31,USD,system
JE000088,1,2026-01-07,1200,SAPUSER,Sales invoice,INV-001901,4558.61,USD,system
JE000088,2,2026-01-07,4000,SAPUSER,Sales invoice,INV-001901,-4558.61,USD,system
JE000089,1,2026-01-07,6000,JONES_M,Office supplies purchase,EXP-000011,422.25,USD,manual
JE000089,2,2026-01-07,1000,JONES_M,Office supplies purchase,EXP-000011,-422.25,USD,manual
JE000090,1,2026-01-07,7000,PEREZ_A,Travel expense claim,EXP-000012,293.52,USD,manual
JE000090,2,2026-01-07,1000,PEREZ_A,Travel expense claim,EXP-000012,-293.52,USD,manual
JE000091,1,2026-01-07,6000,JDOE,Office supplies purchase,EXP-000013,176.75,USD,manual
JE000091,2,2026-01-07,1000,JDOE,Office supplies purchase,EXP-000013,-176.75,USD,manual
JE000092,1,2026-01-07,6000,JONES_M,Office supplies purchase,EXP-000014,176.44,USD,manual
JE000092,2,2026-01-07,1000,JONES_M,Office supplies purchase,EXP-000014,-176.44,USD,manual
JE000093,1,2026-01-07,6000,JDOE,Office supplies purchase,EXP-000015,16.55,USD,manual
JE000093,2,2026-01-07,1000,JDOE,Office supplies purchase,EXP-000015,-16.55,USD,manual
JE000094,1,2026-01-07,6000,JONES_M,Office supplies purchase,EXP-000016,261.63,USD,manual
JE000094,2,2026-01-07,1000,JONES_M,Office supplies purchase,EXP-000016,-261.63,USD,manual
JE000095,1,2026-01-07,7000,PEREZ_A,Travel expense claim,EXP-000017,190.46,USD,manual
JE000095,2,2026-01-07,1000,PEREZ_A,Travel expense claim,EXP-000017,-190.46,USD,manual
JE000096,1,2026-01-07,7000,SMITH_C,Travel expense claim,EXP-000018,338.87,USD,manual
JE000096,2,2026-01-07,1000,SMITH_C,Travel expense claim,EXP-000018,-338.87,USD,manual
JE000097,1,2026-01-07,6000,JDOE,Office supplies purchase,EXP-000019,147.59,USD,manual
JE000097,2,2026-01-07,1000,JDOE,Office supplies purchase,EXP-000019,-147.59,USD,manual
JE000098,1,2026-01-07,6000,SMITH_C,Office supplies purchase,EXP-000940,61.72,USD,manual
JE000098,2,2026-01-07,1000,SMITH_C,Office supplies purchase,EXP-000940,-61.72,USD,manual
JE000099,1,2026-01-07,7000,JONES_M,Travel expense claim,EXP-000941,325.90,USD,manual
JE000099,2,2026-01-07,1000,JONES_M,Travel expense claim,EXP-000941,-325.90,USD,manual
JE000100,1,2026-01-07,6000,JONES_M,Office supplies purchase,EXP-000942,397.66,USD,manual
JE000100,2,2026-01-07,1000,JONES_M,Office supplies purchase,EXP-000942,-397.66,USD,manual
JE000101,1,2026-01-07,6000,PEREZ_A,Office supplies purchase,EXP-000943,439.52,USD,manual
JE000101,2,2026-01-07,1000,PEREZ_A,Office supplies purchase,EXP-000943,-439.52,USD,manual
JE000102,1,2026-01-07,7000,JDOE,Travel expense claim,EXP-000944,149.95,USD,manual
JE000102,2,2026-01-07,1000,JDOE,Travel expense claim,EXP-000944,-149.95,USD,manual
JE000103,1,2026-01-07,7000,JONES_M,Travel expense claim,EXP-000945,407.89,USD,manual
JE000103,2,2026-01-07,1000,JONES_M,Travel expense claim,EXP-000945,-407.89,USD,manual
JE000104,1,2026-01-08,1200,SAPUSER,Customer billing,INV-000025,3071.25,USD,system
JE000104,2,2026-01-08,4000,SAPUSER,Customer billing,INV-000025,-3071.25,USD,system
JE000105,1,2026-01-08,1200,SAPUSER,Sales invoice,INV-000026,3057.17,USD,system
JE000105,2,2026-01-08,4000,SAPUSER,Sales invoice,INV-000026,-3057.17,USD,system
JE000106,1,2026-01-08,1200,SAPUSER,Sales invoice,INV-000027,5373.48,USD,system
JE000106,2,2026-01-08,4000,SAPUSER,Sales invoice,INV-000027,-5373.48,USD,system
JE000107,1,2026-01-08,1200,SAPUSER,Billing document posting,INV-000028,4511.42,USD,system
JE000107,2,2026-01-08,4000,SAPUSER,Billing document posting,INV-000028,-4511.42,USD,system
JE000108,1,2026-01-08,1200,SAPUSER,Sales invoice,INV-000029,3915.97,USD,system
JE000108,2,2026-01-08,4000,SAPUSER,Sales invoice,INV-000029,-3915.97,USD,system
JE000109,1,2026-01-08,1200,SAPUSER,Billing document posting,INV-000030,3646.80,USD,system
JE000109,2,2026-01-08,4000,SAPUSER,Billing document posting,INV-000030,-3646.80,USD,system
JE000110,1,2026-01-08,1200,SAPUSER,Customer billing,INV-001902,3755.35,USD,system
JE000110,2,2026-01-08,4000,SAPUSER,Customer billing,INV-001902,-3755.35,USD,system
JE000111,1,2026-01-08,1200,SAPUSER,Sales invoice,INV-001903,4556.70,USD,system
JE000111,2,2026-01-08,4000,SAPUSER,Sales invoice,INV-001903,-4556.70,USD,system
JE000112,1,2026-01-08,1200,SAPUSER,Billing document posting,INV-001904,3496.02,USD,system
JE000112,2,2026-01-08,4000,SAPUSER,Billing document posting,INV-001904,-3496.02,USD,system
JE000113,1,2026-01-08,1200,SAPUSER,Billing document posting,INV-001905,4302.22,USD,system
JE000113,2,2026-01-08,4000,SAPUSER,Billing document posting,INV-001905,-4302.22,USD,system
JE000114,1,2026-01-08,1200,SAPUSER,Sales invoice,INV-001906,6456.68,USD,system
JE000114,2,2026-01-08,4000,SAPUSER,Sales invoice,INV-001906,-6456.68,USD,system
JE000115,1,2026-01-08,1200,SAPUSER,Customer billing,INV-001907,7037.54,USD,system
JE000115,2,2026-01-08,4000,SAPUSER,Customer billing,INV-001907,-7037.54,USD,system
JE000116,1,2026-01-08,1200,SAPUSER,Customer billing,INV-001908,4459.19,USD,system
JE000116,2,2026-01-08,4000,SAPUSER,Customer billing,INV-001908,-4459.19,USD,system
JE000117,1,2026-01-08,1200,SAPUSER,Billing document posting,INV-001909,4653.20,USD,system
JE000117,2,2026-01-08,4000,SAPUSER,Billing document posting,INV-001909,-4653.20,USD,system
JE000118,1,2026-01-08,1200,SAPUSER,Billing document posting,INV-001910,807.99,USD,system
JE000118,2,2026-01-08,4000,SAPUSER,Billing document posting,INV-001910,-807.99,USD,system
JE000119,1,2026-01-08,1200,SAPUSER,Customer billing,INV-001911,5578.90,USD,system
JE000119,2,2026-01-08,4000,SAPUSER,Customer billing,INV-001911,-5578.90,USD,system
JE000120,1,2026-01-08,1200,SAPUSER,Sales invoice,INV-001912,7442.91,USD,system
JE000120,2,2026-01-08,4000,SAPUSER,Sales invoice,INV-001912,-7442.91,USD,system
JE000121,1,2026-01-08,1200,SAPUSER,Sales invoice,INV-001913,6494.30,USD,system
JE000121,2,2026-01-08,4000,SAPUSER,Sales invoice,INV-001913,-6494.30,USD,system
JE000122,1,2026-01-08,1200,SAPUSER,Billing document posting,INV-001914,7349.68,USD,system
JE000122,2,2026-01-08,4000,SAPUSER,Billing document posting,INV-001914,-7349.68,USD,system
JE000123,1,2026-01-08,1200,SAPUSER,Sales invoice,INV-001915,2956.66,USD,system
JE000123,2,2026-01-08,4000,SAPUSER,Sales invoice,INV-001915,-2956.66,USD,system
JE000124,1,2026-01-08,7000,JDOE,Travel expense claim,EXP-000020,466.73,USD,manual
JE000124,2,2026-01-08,1000,JDOE,Travel expense claim,EXP-000020,-466.73,USD,manual
JE000125,1,2026-01-08,6000,SMITH_C,Office supplies purchase,EXP-000021,54.21,USD,manual
JE000125,2,2026-01-08,1000,SMITH_C,Office supplies purchase,EXP-000021,-54.21,USD,manual
JE000126,1,2026-01-08,7000,SMITH_C,Travel expense claim,EXP-000022,75.34,USD,manual
JE000126,2,2026-01-08,1000,SMITH_C,Travel expense claim,EXP-000022,-75.34,USD,manual
JE000127,1,2026-01-08,7000,JDOE,Travel expense claim,EXP-000946,227.37,USD,manual
JE000127,2,2026-01-08,1000,JDOE,Travel expense claim,EXP-000946,-227.37,USD,manual
JE000128,1,2026-01-08,6000,SMITH_C,Office supplies purchase,EXP-000947,174.38,USD,manual
JE000128,2,2026-01-08,1000,SMITH_C,Office supplies purchase,EXP-000947,-174.38,USD,manual
JE000129,1,2026-01-08,6000,MARTIN_B,Office supplies purchase,EXP-000948,396.34,USD,manual
JE000129,2,2026-01-08,1000,MARTIN_B,Office supplies purchase,EXP-000948,-396.34,USD,manual
JE000130,1,2026-01-08,6000,SMITH_C,Office supplies purchase,EXP-000949,276.72,USD,manual
JE000130,2,2026-01-08,1000,SMITH_C,Office supplies purchase,EXP-000949,-276.72,USD,manual
JE000131,1,2026-01-08,6000,MARTIN_B,Office supplies purchase,EXP-001868,80.41,USD,manual
JE000131,2,2026-01-08,1000,MARTIN_B,Office supplies purchase,EXP-001868,-80.41,USD,manual
JE000132,1,2026-01-08,7000,PEREZ_A,Travel expense claim,EXP-001869,247.96,USD,manual
JE000132,2,2026-01-08,1000,PEREZ_A,Travel expense claim,EXP-001869,-247.96,USD,manual
JE000133,1,2026-01-08,7000,JDOE,Travel expense claim,EXP-001870,18.08,USD,manual
JE000133,2,2026-01-08,1000,JDOE,Travel expense claim,EXP-001870,-18.08,USD,manual
JE000134,1,2026-01-08,7000,SMITH_C,Travel expense claim,EXP-001871,356.90,USD,manual
JE000134,2,2026-01-08,1000,SMITH_C,Travel expense claim,EXP-001871,-356.90,USD,manual
JE000135,1,2026-01-08,7000,MARTIN_B,Travel expense claim,EXP-001872,330.81,USD,manual
JE000135,2,2026-01-08,1000,MARTIN_B,Travel expense claim,EXP-001872,-330.81,USD,manual
JE000136,1,2026-01-08,7000,JONES_M,Travel expense claim,EXP-001873,453.47,USD,manual
JE000136,2,2026-01-08,1000,JONES_M,Travel expense claim,EXP-001873,-453.47,USD,manual
JE000137,1,2026-01-08,7000,PEREZ_A,Travel expense claim,EXP-001874,219.57,USD,manual
JE000137,2,2026-01-08,1000,PEREZ_A,Travel expense claim,EXP-001874,-219.57,USD,manual
JE000138,1,2026-01-08,6000,MARTIN_B,Office supplies purchase,EXP-001875,312.61,USD,manual
JE000138,2,2026-01-08,1000,MARTIN_B,Office supplies purchase,EXP-001875,-312.61,USD,manual
JE000139,1,2026-01-09,1400,BATCHRUN,Intercompany settlement,IC-0001,4280.19,USD,system
JE000139,2,2026-01-09,2050,BATCHRUN,Intercompany settlement,IC-0001,-4280.19,USD,system
JE000140,1,2026-01-09,1200,SAPUSER,Billing document posting,INV-000031,2948.34,USD,system
JE000140,2,2026-01-09,4000,SAPUSER,Billing document posting,INV-000031,-2948.34,USD,system
JE000141,1,2026-01-09,1200,SAPUSER,Billing document posting,INV-000032,2066.60,USD,system
JE000141,2,2026-01-09,4000,SAPUSER,Billing document posting,INV-000032,-2066.60,USD,system
JE000142,1,2026-01-09,1200,SAPUSER,Customer billing,INV-000033,5989.33,USD,system
JE000142,2,2026-01-09,4000,SAPUSER,Customer billing,INV-000033,-5989.33,USD,system
JE000143,1,2026-01-09,1200,SAPUSER,Sales invoice,INV-000034,8484.52,USD,system
JE000143,2,2026-01-09,4000,SAPUSER,Sales invoice,INV-000034,-8484.52,USD,system
JE000144,1,2026-01-09,1200,SAPUSER,Sales invoice,INV-000035,4263.11,USD,system
