REF,LINE,DATE,ACCT,USER,DESC,DOCREF,AMOUNT,CUR,TYPE
B0000058,2,2024-10-24,51410000,S.ELFASI,office supplies,B0000058D,35465.90,USD,manual
B0000059,1,2024-05-14,610000,Z.BERRADA,supplier invoice,B0000059D,-19065.22,USD,manual
B0000059,2,2024-05-14,51410000,Z.BERRADA,supplier invoice,B0000059D,19065.22,USD,manual
B0000060,1,2024-06-20,400000,M.BENNANI,office supplies,B0000060D,-25625.48,USD,manual
B0000060,2,2024-06-20,51410000,M.BENNANI,office supplies,B0000060D,25625.48,USD,manual
B0000061,1,2024-12-17,620000,S.ELFASI,rent charge,B0000061D,-15756.08,USD,manual
B0000061,2,2024-12-17,51410000,S.ELFASI,rent charge,B0000061D,15756.08,USD,manual
B0000062,1,2024-12-13,400000,M.BENNANI,office supplies,B0000062D,-12360.34,USD,manual
B0000062,2,2024-12-13,51410000,M.BENNANI,office supplies,B0000062D,12360.34,USD,manual
B0000063,1,2024-11-15,610000,Z.BERRADA,utility fee,B0000063D,-15112.41,USD,manual
B0000063,2,2024-11-15,51410000,Z.BERRADA,utility fee,B0000063D,15112.41,USD,manual
B0000064,1,2024-11-19,620000,Z.BERRADA,rent charge,B0000064D,-5682.55,USD,manual
B0000064,2,2024-11-19,51410000,Z.BERRADA,rent charge,B0000064D,5682.55,USD,manual
B0000065,1,2024-02-17,610000,K.MANSOURI,rent charge,B0000065D,-9864.30,USD,manual
B0000065,2,2024-02-17,51410000,K.MANSOURI,rent charge,B0000065D,9864.30,USD,manual
B0000066,1,2024-01-14,450000,H.AITLA,rent charge,B0000066D,-41968.67,USD,manual
B0000066,2,2024-01-14,51410000,H.AITLA,rent charge,B0000066D,41968.67,USD,manual
B0000067,1,2024-05-06,400000,Z.BERRADA,supplier invoice,B0000067D,-18057.38,USD,manual
B0000067,2,2024-05-06,51410000,Z.BERRADA,supplier invoice,B0000067D,18057.38,USD,manual
B0000068,1,2024-03-07,400000,M.BENNANI,utility fee,B0000068D,-1361.06,USD,manual
B0000068,2,2024-03-07,51410000,M.BENNANI,utility fee,B0000068D,1361.06,USD,manual
B0000069,1,2024-05-23,620000,Z.BERRADA,office supplies,B0000069D,-959.58,USD,manual
B0000069,2,2024-05-23,51410000,Z.BERRADA,office supplies,B0000069D,959.58,USD,manual
B0000070,1,2024-05-22,610000,Z.BERRADA,supplier invoice,B0000070D,-20353.49,USD,manual
B0000070,2,2024-05-22,51410000,Z.BERRADA,supplier invoice,B0000070D,20353.49,USD,manual
B0000071,1,2024-05-03,400000,M.BENNANI,utility fee,B0000071D,-40663.79,USD,manual
B0000071,2,2024-05-03,51410000,M.BENNANI,utility fee,B0000071D,40663.79,USD,manual
B0000072,1,2024-01-26,610000,H.AITLA,office supplies,B0000072D,-37256.77,USD,manual
B0000072,2,2024-01-26,51410000,H.AITLA,office supplies,B0000072D,37256.77,USD,manual
B0000073,1,2024-04-26,610000,S.ELFASI,rent charge,B0000073D,-31625.31,USD,manual
B0000073,2,2024-04-26,51410000,S.ELFASI,rent charge,B0000073D,31625.31,USD,manual
B0000074,1,2024-11-18,450000,H.AITLA,utility fee,B0000074D,-9873.43,USD,manual
B0000074,2,2024-11-18,51410000,H.AITLA,utility fee,B0000074D,9873.43,USD,manual
B0000075,1,2024-05-09,620000,S.ELFASI,service fee,B0000075D,-22970.69,USD,manual
B0000075,2,2024-05-09,51410000,S.ELFASI,service fee,B0000075D,22970.69,USD,manual
B0000076,1,2024-07-12,450000,H.AITLA,rent charge,B0000076D,-22969.21,USD,manual
B0000076,2,2024-07-12,51410000,H.AITLA,rent charge,B0000076D,22969.21,USD,manual
B0000077,1,2024-07-13,620000,Z.BERRADA,supplier invoice,B0000077D,-2482.75,USD,manual
B0000077,2,2024-07-13,51410000,Z.BERRADA,supplier invoice,B0000077D,2482.75,USD,manual
B0000078,1,2024-05-18,420000,K.MANSOURI,utility fee,B0000078D,-30688.18,USD,manual
B0000078,2,2024-05-18,51410000,K.MANSOURI,utility fee,B0000078D,30688.18,USD,manual
B0000079,1,2024-07-24,450000,M.BENNANI,service fee,B0000079D,-33785.14,USD,manual
B0000079,2,2024-07-24,51410000,M.BENNANI,service fee,B0000079D,33785.14,USD,manual
B0000080,1,2024-12-17,610000,M.BENNANI,office supplies,B0000080D,-29784.07,USD,manual
B0000080,2,2024-12-17,51410000,M.BENNANI,office supplies,B0000080D,29784.07,USD,manual
B0000081,1,2024-12-02,450000,S.ELFASI,rent charge,B0000081D,-4976.47,USD,manual
B0000081,2,2024-12-02,51410000,S.ELFASI,rent charge,B0000081D,4976.47,USD,manual
B0000082,1,2024-12-13,620000,S.ELFASI,office supplies,B0000082D,-17317.81,USD,manual
B0000082,2,2024-12-13,51410000,S.ELFASI,office supplies,B0000082D,17317.81,USD,manual
B0000083,1,2024-12-15,610000,Z.BERRADA,supplier invoice,B0000083D,-41102.76,USD,manual
B0000083,2,2024-12-15,51410000,Z.BERRADA,supplier invoice,B0000083D,41102.76,USD,manual
B0000084,1,2024-04-15,420000,Z.BERRADA,service fee,B0000084D,-38668.31,USD,manual
B0000084,2,2024-04-15,51410000,Z.BERRADA,service fee,B0000084D,38668.31,USD,manual
B0000085,1,2024-12-04,420000,K.MANSOURI,supplier invoice,B0000085D,-27608.61,USD,manual
B0000085,2,2024-12-04,51410000,K.MANSOURI,supplier invoice,B0000085D,27608.61,USD,manual
B0000086,1,2024-05-08,610000,S.ELFASI,service fee,B0000086D,-7949.42,USD,manual
B0000086,2,2024-05-08,51410000,S.ELFASI,service fee,B0000086D,7949.42,USD,manual
B0000087,1,2024-11-22,400000,S.ELFASI,rent charge,B0000087D,-31188.63,USD,manual
B0000087,2,2024-11-22,51410000,S.ELFASI,rent charge,B0000087D,31188.63,USD,manual
B0000088,1,2024-11-15,400000,H.AITLA,office supplies,B0000088D,-30296.68,USD,manual
B0000088,2,2024-11-15,51410000,H.AITLA,office supplies,B0000088D,30296.68,USD,manual
B0000089,1,2024-09-13,610000,M.BENNANI,utility fee,B0000089D,-17897.74,USD,manual
B0000089,2,2024-09-13,51410000,M.BENNANI,utility fee,B0000089D,17897.74,USD,manual
B0000090,1,2024-02-05,450000,H.AITLA,utility fee,B0000090D,-30001.88,USD,manual
B0000090,2,2024-02-05,51410000,H.AITLA,utility fee,B0000090D,30001.88,USD,manual
B0000091,1,2024-08-15,420000,M.BENNANI,utility fee,B0000091D,-12503.45,USD,manual
B0000091,2,2024-08-15,51410000,M.BENNANI,utility fee,B0000091D,12503.45,USD,manual
B0000092,1,2024-05-04,400000,S.ELFASI,utility fee,B0000092D,-25654.49,USD,manual
B0000092,2,2024-05-04,51410000,S.ELFASI,utility fee,B0000092D,25654.49,USD,manual
B0000093,1,2024-02-26,610000,K.MANSOURI,office supplies,B0000093D,-35978.38,USD,manual
B0000093,2,2024-02-26,51410000,K.MANSOURI,office supplies,B0000093D,35978.38,USD,manual
B0000094,1,2024-09-12,620000,Z.BERRADA,rent charge,B0000094D,-35552.86,USD,manual
B0000094,2,2024-09-12,51410000,Z.BERRADA,rent charge,B0000094D,35552.86,USD,manual
B0000095,1,2024-09-17,620000,K.MANSOURI,service fee,B0000095D,-2998.60,USD,manual
B0000095,2,2024-09-17,51410000,K.MANSOURI,service fee,B0000095D,2998.60,USD,manual
B0000096,1,2024-11-07,400000,H.AITLA,service fee,B0000096D,-41878.72,USD,manual
B0000096,2,2024-11-07,51410000,H.AITLA,service fee,B0000096D,41878.72,USD,manual
B0000097,1,2024-02-23,620000,K.MANSOURI,rent charge,B0000097D,-8351.64,USD,manual
B0000097,2,2024-02-23,51410000,K.MANSOURI,rent charge,B0000097D,8351.64,USD,manual
B0000098,1,2024-11-12,450000,Z.BERRADA,service fee,B0000098D,-18770.36,USD,manual
B0000098,2,2024-11-12,51410000,Z.BERRADA,service fee,B0000098D,18770.36,USD,manual
B0000099,1,2024-11-26,620000,S.ELFASI,rent charge,B0000099D,-16400.79,USD,manual
B0000099,2,2024-11-26,51410000,S.ELFASI,rent charge,B0000099D,16400.79,USD,manual
B0000100,1,2024-09-25,400000,K.MANSOURI,utility fee,B0000100D,-32525.13,USD,manual
B0000100,2,2024-09-25,51410000,K.MANSOURI,utility fee,B0000100D,32525.13,USD,manual
B0000101,1,2024-04-08,450000,K.MANSOURI,office supplies,B0000101D,-8227.25,USD,manual
B0000101,2,2024-04-08,51410000,K.MANSOURI,office supplies,B0000101D,8227.25,USD,manual
B0000102,1,2024-06-22,450000,Z.BERRADA,office supplies,B0000102D,-23743.69,USD,manual
B0000102,2,2024-06-22,51410000,Z.BERRADA,office supplies,B0000102D,23743.69,USD,manual
B0000103,1,2024-08-08,450000,K.MANSOURI,office supplies,B0000103D,-2682.10,USD,manual
B0000103,2,2024-08-08,51410000,K.MANSOURI,office supplies,B0000103D,2682.10,USD,manual
B0000104,1,2024-05-02,420000,H.AITLA,service fee,B0000104D,-19257.98,USD,manual
B0000104,2,2024-05-02,51410000,H.AITLA,service fee,B0000104D,19257.98,USD,manual
B0000105,1,2024-08-19,610000,M.BENNANI,utility fee,B0000105D,-8123.86,USD,manual
B0000105,2,2024-08-19,51410000,M.BENNANI,utility fee,B0000105D,8123.86,USD,manual
B0000106,1,2024-07-05,450000,M.BENNANI,rent charge,B0000106D,-11524.35,USD,manual
B0000106,2,2024-07-05,51410000,M.BENNANI,rent charge,B0000106D,11524.35,USD,manual
B0000107,1,2024-02-18,610000,S.ELFASI,supplier invoice,B0000107D,-25459.14,USD,manual
B0000107,2,2024-02-18,51410000,S.ELFASI,supplier invoice,B0000107D,25459.14,USD,manual
B0000108,1,2024-02-19,450000,K.MANSOURI,utility fee,B0000108D,-10379.45,USD,manual
B0000108,2,2024-02-19,51410000,K.MANSOURI,utility fee,B0000108D,10379.45,USD,manual
B0000109,1,2024-11-12,620000,M.BENNANI,office supplies,B0000109D,-16383.14,USD,manual
B0000109,2,2024-11-12,51410000,M.BENNANI,office supplies,B0000109D,16383.14,USD,manual
B0000110,1,2024-12-10,400000,S.ELFASI,supplier invoice,B0000110D,-30248.14,USD,manual
B0000110,2,2024-12-10,51410000,S.ELFASI,supplier invoice,B0000110D,30248.14,USD,manual
B0000111,1,2024-07-11,400000,S.ELFASI,office supplies,B0000111D,-5326.32,USD,manual
B0000111,2,2024-07-11,51410000,S.ELFASI,office supplies,B0000111D,5326.32,USD,manual
B0000112,1,2024-12-24,420000,K.MANSOURI,rent charge,B0000112D,-7398.57,USD,manual
B0000112,2,2024-12-24,51410000,K.MANSOURI,rent charge,B0000112D,7398.57,USD,manual
B0000113,1,2024-07-08,420000,H.AITLA,utility fee,B0000113D,-5372.40,USD,manual
B0000113,2,2024-07-08,51410000,H.AITLA,utility fee,B0000113D,5372.40,USD,manual
B0000114,1,2024-03-25,400000,H.AITLA,service fee,B0000114D,-31659.77,USD,manual
B0000114,2,2024-03-25,51410000,H.AITLA,service fee,B0000114D,31659.77,USD,manual
B0000115,1,2024-03-06,450000,S.ELFASI,rent charge,B0000115D,-15108.13,USD,manual
B0000115,2,2024-03-06,51410000,S.ELFASI,rent charge,B0000115D,15108.13,USD,manual
B0000116,1,2024-04-10,620000,H.AITLA,rent charge,B0000116D,-34239.74,USD,manual
B0000116,2,2024-04-10,51410000,H.AITLA,rent charge,B0000116D,34239.74,USD,manual
B0000117,1,2024-12-14,420000,M.BENNANI,rent charge,B0000117D,-16638.72,USD,manual
B0000117,2,2024-12-14,51410000,M.BENNANI,rent charge,B0000117D,16638.72,USD,manual
B0000118,1,2024-01-12,620000,K.MANSOURI,rent charge,B0000118D,-22272.28,USD,manual
B0000118,2,2024-01-12,51410000,K.MANSOURI,rent charge,B0000118D,22272.28,USD,manual
B0000119,1,2024-07-05,610000,M.BENNANI,rent charge,B0000119D,-6410.03,USD,manual
B0000119,2,2024-07-05,51410000,M.BENNANI,rent charge,B0000119D,6410.03,USD,manual
B0000120,1,2024-09-09,400000,H.AITLA,service fee,B0000120D,-23346.78,USD,manual
B0000120,2,2024-09-09,51410000,H.AITLA,service fee,B0000120D,23346.78,USD,manual
B0000121,1,2024-07-13,610000,S.ELFASI,service fee,B0000121D,-14633.55,USD,manual
B0000121,2,2024-07-13,51410000,S.ELFASI,service fee,B0000121D,14633.55,USD,manual
B0000122,1,2024-04-21,610000,K.MANSOURI,office supplies,B0000122D,-18700.92,USD,manual
B0000122,2,2024-04-21,51410000,K.MANSOURI,office supplies,B0000122D,18700.92,USD,manual
B0000123,1,2024-04-17,620000,M.BENNANI,rent charge,B0000123D,-20573.97,USD,manual
B0000123,2,2024-04-17,51410000,M.BENNANI,rent charge,B0000123D,20573.97,USD,manual
B0000124,1,2024-05-21,420000,M.BENNANI,supplier invoice,B0000124D,-32107.00,USD,manual
B0000124,2,2024-05-21,51410000,M.BENNANI,supplier invoice,B0000124D,32107.00,USD,manual
B0000125,1,2024-05-25,420000,M.BENNANI,rent charge,B0000125D,-19330.26,USD,manual
B0000125,2,2024-05-25,51410000,M.BENNANI,rent charge,B0000125D,19330.26,USD,manual
B0000126,1,2024-01-24,620000,S.ELFASI,utility fee,B0000126D,-6815.16,USD,manual
B0000126,2,2024-01-24,51410000,S.ELFASI,utility fee,B0000126D,6815.16,USD,manual
B0000127,1,2024-01-10,620000,Z.BERRADA,rent charge,B0000127D,-20264.09,USD,manual
B0000127,2,2024-01-10,51410000,Z.BERRADA,rent charge,B0000127D,20264.09,USD,manual
B0000128,1,2024-07-09,610000,K.MANSOURI,utility fee,B0000128D,-39068.53,USD,manual
B0000128,2,2024-07-09,51410000,K.MANSOURI,utility fee,B0000128D,39068.53,USD,manual
B0000129,1,2024-12-02,420000,Z.BERRADA,rent charge,B0000129D,-6433.87,USD,manual
B0000129,2,2024-12-02,51410000,Z.BERRADA,rent charge,B0000129D,6433.87,USD,manual
B0000130,1,2024-04-04,620000,S.ELFASI,supplier invoice,B0000130D,-3451.19,USD,manual
B0000130,2,2024-04-04,51410000,S.ELFASI,supplier invoice,B0000130D,3451.19,USD,manual
B0000131,1,2024-01-24,450000,Z.BERRADA,office supplies,B0000131D,-38503.43,USD,manual
B0000131,2,2024-01-24,51410000,Z.BERRADA,office supplies,B0000131D,38503.43,USD,manual
B0000132,1,2024-05-24,420000,S.ELFASI,utility fee,B0000132D,-35438.46,USD,manual
B0000132,2,2024-05-24,51410000,S.ELFASI,utility fee,B0000132D,35438.46,USD,manual
B0000133,1,2024-05-17,400000,S.ELFASI,rent charge,B0000133D,-14329.80,USD,manual
B0000133,2,2024-05-17,51410000,S.ELFASI,rent charge,B0000133D,14329.80,USD,manual
B0000134,1,2024-09-23,450000,M.BENNANI,rent charge,B0000134D,-5293.86,USD,manual
B0000134,2,2024-09-23,51410000,M.BENNANI,rent charge,B0000134D,5293.86,USD,manual
B0000135,1,2024-09-20,610000,S.ELFASI,office supplies,B0000135D,-14692.94,USD,manual
B0000135,2,2024-09-20,51410000,S.ELFASI,office supplies,B0000135D,14692.94,USD,manual
B0000136,1,2024-08-22,610000,H.AITLA,service fee,B0000136D,-37552.01,USD,manual
B0000136,2,2024-08-22,51410000,H.AITLA,service fee,B0000136D,37552.01,USD,manual
B0000137,1,2024-08-18,620000,H.AITLA,service fee,B0000137D,-36719.75,USD,manual
B0000137,2,2024-08-18,51410000,H.AITLA,service fee,B0000137D,36719.75,USD,manual
B0000138,1,2024-02-08,610000,S.ELFASI,utility fee,B0000138D,-12708.39,USD,manual
B0000138,2,2024-02-08,51410000,S.ELFASI,utility fee,B0000138D,12708.39,USD,manual
B0000139,1,2024-05-02,610000,H.AITLA,utility fee,B0000139D,-6156.50,USD,manual
B0000139,2,2024-05-02,51410000,H.AITLA,utility fee,B0000139D,6156.50,USD,manual
B0000140,1,2024-02-23,400000,M.BENNANI,service fee,B0000140D,-36790.81,USD,manual
B0000140,2,2024-02-23,51410000,M.BENNANI,service fee,B0000140D,36790.81,USD,manual
B0000141,1,2024-11-22,420000,H.AITLA,rent charge,B0000141D,-16203.03,USD,manual
B0000141,2,2024-11-22,51410000,H.AITLA,rent charge,B0000141D,16203.03,USD,manual
B0000142,1,2024-07-20,400000,Z.BERRADA,office supplies,B0000142D,-32056.10,USD,manual
B0000142,2,2024-07-20,51410000,Z.BERRADA,office supplies,B0000142D,32056.10,USD,manual
B0000143,1,2024-11-23,420000,M.BENNANI,utility fee,B0000143D,-24636.84,USD,manual
